Designator,Mid X,Mid Y,Rotation,Layer
BT1,12.625,-0.000993,0.0,bottom
BZ1,-0.37,-7.04,180.0,top
C1,-10.46,-4.75,270.0,top
C2,-8.24,-8.73,180.0,top
C3,1.19,-3.79,0.0,top
C4,4.53,-3.85,180.0,top
C5,8.93,8.18,180.0,top
C6,7.98,3.9,0.0,top
D1,3.59,-7.96,90.0,top
D2,-4.36,-7.95,90.0,top
D3,1.15,-11.05,180.0,top
IC1,-8.21,0.67,180.0,top
J1,7.87,6.01,270.0,top
Q1,-2.48,-11.53,180.0,top
R1,3.59,-5.42,270.0,top
R2,-4.32,-5.3525,270.0,top
R3,7.18,-0.3,180.0,top
R4,7.17,-1.34,180.0,top
R5,-5.47,-10.4,180.0,top
R6,-7.7,3.96,0.0,top
R7,-10.86,-1.06,270.0,top
U1,0.0,4.98,0.0,top
Y1,-7.85,-5.2,90.0,top
